Job,LLAMA,Gemini
"{'Company Name': 'Lenskart', 'Job Title': 'Software Engineer - Full Stack', 'Location': 'Bangalore', 'Skills': ""['Full Stack Development']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 8 LPA - Rs. 12 LPA', 'Experience': 'Year of experience - 1 - 3 Years'}","{'job_title': 'Software Engineer - Full Stack', 'job_link': None, 'company_name': 'Lenskart', 'experience': '1 - 3 Years', 'salary': 'Rs. 8 LPA - Rs. 12 LPA', 'location': 'Bangalore', 'job_description': None, 'skills': ['Full Stack Development']}","{'job title': 'Software Engineer - Full Stack', 'job link': None, 'company name': 'Lenskart', 'experience': '1 - 3 Years', 'salary': 'Rs. 8 LPA - Rs. 12 LPA', 'location': 'Bangalore', 'job description': None, 'skills': ['Full Stack Development']}"
"{'Company Name': 'PayU', 'Job Title': 'Software Engineer', 'Location': 'Bangalore', 'Skills': ""['Python/Java/C/C++']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 10 LPA - Rs. 15 LPA', 'Experience': 'Year of experience - Freshers'}","{'job_title': 'Software Engineer', 'job_link': None, 'company_name': 'PayU', 'experience': 'Freshers', 'salary': 'Rs. 10 LPA - Rs. 15 LPA', 'location': 'Bangalore', 'job_description': None, 'skills': ['Python', 'Java', 'C', 'C++']}","{'job title': 'Software Engineer', 'job link': None, 'company name': 'PayU', 'experience': 'Year of experience - Freshers', 'salary': 'Rs. 10 LPA - Rs. 15 LPA', 'location': 'Bangalore', 'job description': None, 'skills': ""['Python/Java/C/C++']""}"
"{'Company Name': 'Sprinklr', 'Job Title': 'Technical Supoort Engineer', 'Location': 'Gurgaon, Bangalore', 'Skills': ""['JavaScript/Python/Java', 'SQL']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 6 LPA - Rs. 9 LPA', 'Experience': 'Year of experience - 0 - 3 Years'}","{'job_title': 'Technical Supoort Engineer', 'job_link': None, 'company_name': 'Sprinklr', 'experience': '0 - 3 Years', 'salary': 'Rs. 6 LPA - Rs. 9 LPA', 'location': 'Gurgaon, Bangalore', 'job_description': None, 'skills': ['JavaScript/Python/Java', 'SQL']}","{'job title': 'Technical Supoort Engineer', 'job link': None, 'company name': 'Sprinklr', 'experience': '0 - 3 Years', 'salary': 'Rs. 6 LPA - Rs. 9 LPA', 'location': 'Gurgaon, Bangalore', 'job description': None, 'skills': ['JavaScript/Python/Java', 'SQL']}"
"{'Company Name': 'Oracle', 'Job Title': 'Software Engineer', 'Location': 'Hyderabad', 'Skills': ""['Javascript', 'HTML', 'CSS']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 7 LPA - Rs. 12 LPA', 'Experience': 'Year of experience - 0 - 2 Years'}","{'job_title': 'Software Engineer', 'job_link': None, 'company_name': 'Oracle', 'experience': '0 - 2 Years', 'salary': 'Rs. 7 LPA - Rs. 12 LPA', 'location': 'Hyderabad', 'job_description': None, 'skills': ['Javascript', 'HTML', 'CSS']}","{'job title': 'Software Engineer', 'job link': None, 'company name': 'Oracle', 'experience': '0 - 2 Years', 'salary': 'Rs. 7 LPA - Rs. 12 LPA', 'location': 'Hyderabad', 'job description': None, 'skills': ['Javascript', 'HTML', 'CSS']}"
"{'Company Name': 'Conduent', 'Job Title': 'Technical Business Analysis Engineer I', 'Location': 'Noida', 'Skills': ""['Software Engineering']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 4.5 LPA - Rs. 6.5 LPA', 'Experience': 'Year of experience - Fresher'}","{'job_title': 'Technical Business Analysis Engineer I', 'job_link': None, 'company_name': 'Conduent', 'experience': 'Fresher', 'salary': 'Rs. 4.5 LPA - Rs. 6.5 LPA', 'location': 'Noida', 'job_description': None, 'skills': ['Software Engineering']}","{'job title': 'Technical Business Analysis Engineer I', 'job link': None, 'company name': 'Conduent', 'experience': 'Fresher', 'salary': 'Rs. 4.5 LPA - Rs. 6.5 LPA', 'location': 'Noida', 'job description': None, 'skills': ['Software Engineering']}"
"{'Company Name': 'GAP Inc.', 'Job Title': 'Software Engineer', 'Location': 'Hyderabad', 'Skills': ""['Python/Java/C/C++']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 6 LPA - Rs. 9 LPA', 'Experience': 'Year of experience - Fresher'}","{'job_title': 'Software Engineer', 'job_link': None, 'company_name': 'GAP Inc.', 'experience': 'Fresher', 'salary': 'Rs. 6 LPA - Rs. 9 LPA', 'location': 'Hyderabad', 'job_description': None, 'skills': ['Python', 'Java', 'C', 'C++']}","{'job title': 'Software Engineer', 'job link': None, 'company name': 'GAP Inc.', 'experience': 'Fresher', 'salary': 'Rs. 6 LPA - Rs. 9 LPA', 'location': 'Hyderabad', 'job description': None, 'skills': ""['Python/Java/C/C++']""}"
"{'Company Name': 'Qualcomm', 'Job Title': 'Associate Engineer', 'Location': 'Hyderabad', 'Skills': ""['C', 'C++', 'Java', 'Python', 'SQL']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 11 LPA - Rs. 15 LPA', 'Experience': 'Year of experience - 0 - 1 Years'}","{'job_title': 'Associate Engineer', 'job_link': None, 'company_name': 'Qualcomm', 'experience': '0 - 1 Years', 'salary': 'Rs. 11 LPA - Rs. 15 LPA', 'location': 'Hyderabad', 'job_description': None, 'skills': ['C', 'C++', 'Java', 'Python', 'SQL']}","{'job title': 'Associate Engineer', 'job link': None, 'company name': 'Qualcomm', 'experience': '0 - 1 Years', 'salary': 'Rs. 11 LPA - Rs. 15 LPA', 'location': 'Hyderabad', 'job description': None, 'skills': ['C', 'C++', 'Java', 'Python', 'SQL']}"
"{'Company Name': 'Amazon', 'Job Title': 'IT Application Engineer', 'Location': 'Hyderabad', 'Skills': ""['SQL']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 12 LPA - Rs. 18 LPA', 'Experience': 'Year of experience - Fresher'}","{'job_title': 'IT Application Engineer', 'job_link': None, 'company_name': 'Amazon', 'experience': 'Fresher', 'salary': 'Rs. 12 LPA - Rs. 18 LPA', 'location': 'Hyderabad', 'job_description': None, 'skills': ['SQL']}","{'job title': 'IT Application Engineer', 'job link': None, 'company name': 'Amazon', 'experience': 'Fresher', 'salary': 'Rs. 12 LPA - Rs. 18 LPA', 'location': 'Hyderabad', 'job description': None, 'skills': ['SQL']}"
"{'Company Name': 'Optum', 'Job Title': 'Software Engineer', 'Location': 'Hyderabad', 'Skills': ""['Javascript', 'Python']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 5 LPA - Rs. 8 LPA', 'Experience': 'Year of experience - Freshers'}","{'job_title': 'Software Engineer', 'job_link': None, 'company_name': 'Optum', 'experience': 'Freshers', 'salary': 'Rs. 5 LPA - Rs. 8 LPA', 'location': 'Hyderabad', 'job_description': None, 'skills': ['Javascript', 'Python']}","{'job title': 'Software Engineer', 'job link': None, 'company name': 'Optum', 'experience': 'Year of experience - Freshers', 'salary': 'Rs. 5 LPA - Rs. 8 LPA', 'location': 'Hyderabad', 'job description': None, 'skills': ['Javascript', 'Python']}"
"{'Company Name': 'Capegemini', 'Job Title': 'Android Developer', 'Location': 'Coimbatore', 'Skills': ""['Android Development']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 4 LPA - Rs. 6 LPA', 'Experience': 'Year of experience - 0 - 2 Years'}","{'job_title': 'Android Developer', 'job_link': None, 'company_name': 'Capegemini', 'experience': '0 - 2 Years', 'salary': 'Rs. 4 LPA - Rs. 6 LPA', 'location': 'Coimbatore', 'job_description': None, 'skills': ['Android Development']}","{'job title': 'Android Developer', 'job link': None, 'company name': 'Capegemini', 'experience': '0 - 2 Years', 'salary': 'Rs. 4 LPA - Rs. 6 LPA', 'location': 'Coimbatore', 'job description': None, 'skills': ['Android Development']}"
"{'Company Name': 'PayU', 'Job Title': 'Integration Engineer', 'Location': 'Bangalore', 'Skills': ""['Python', 'Java', 'SQL']"", 'Job Type': 'Hybrid', 'Salary': 'Rs. 7 LPA - Rs. 12 LPA', 'Experience': 'Year of experience - Freshers'}","{'job_title': 'Integration Engineer', 'job_link': None, 'company_name': 'PayU', 'experience': '0 years', 'salary': 'Rs. 7 LPA - Rs. 12 LPA', 'location': 'Bangalore', 'job_description': None, 'skills': ['Python', 'Java', 'SQL']}","{'job title': 'Integration Engineer', 'job link': None, 'company name': 'PayU', 'experience': 'Freshers', 'salary': 'Rs. 7 LPA - Rs. 12 LPA', 'location': 'Bangalore', 'job description': None, 'skills': ['Python', 'Java', 'SQL']}"
"{'Company Name': 'Google', 'Job Title': 'Cloud Web Application Engineer', 'Location': 'Gurgaon', 'Skills': ""['Java/Python/JavaScript', 'Google Cloud']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 18 LPA - Rs. 24 LPA', 'Experience': 'Year of experience - https://www.google.com/about/careers/applications/jobs/results/73604838461448902-cloud-web-application-engineer/'}","{'job_title': 'Cloud Web Application Engineer', 'job_link': 'https://www.google.com/about/careers/applications/jobs/results/73604838461448902-cloud-web-application-engineer/', 'company_name': 'Google', 'experience': 'Year of experience', 'salary': 'Rs. 18 LPA - Rs. 24 LPA', 'location': 'Gurgaon', 'job_description': '', 'skills': ['Java/Python/JavaScript', 'Google Cloud']}","{'job title': 'Cloud Web Application Engineer', 'job link': 'https://www.google.com/about/careers/applications/jobs/results/73604838461448902-cloud-web-application-engineer/', 'company name': 'Google', 'experience': 'Year of experience', 'salary': 'Rs. 18 LPA - Rs. 24 LPA', 'location': 'Gurgaon', 'job description': None, 'skills': ""['Java/Python/JavaScript', 'Google Cloud']""}"
"{'Company Name': 'Qualcomm', 'Job Title': 'Engineer-APT', 'Location': 'Hyderabad', 'Skills': ""['C', 'C++', 'Java', 'Python']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 12 LPA - Rs. 18 LPA', 'Experience': 'Year of experience - 0 - 1 Years'}","{'job_title': 'Engineer-APT', 'job_link': None, 'company_name': 'Qualcomm', 'experience': '0 - 1 Years', 'salary': 'Rs. 12 LPA - Rs. 18 LPA', 'location': 'Hyderabad', 'job_description': None, 'skills': ['C', 'C++', 'Java', 'Python']}","{'job title': 'Engineer-APT', 'job link': None, 'company name': 'Qualcomm', 'experience': '0 - 1 Years', 'salary': 'Rs. 12 LPA - Rs. 18 LPA', 'location': 'Hyderabad', 'job description': None, 'skills': ['C', 'C++', 'Java', 'Python']}"
"{'Company Name': 'Volvo', 'Job Title': 'Software Engineer', 'Location': 'Bangalore', 'Skills': ""['.Net', 'SQL', 'C#']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 5 LPA - Rs. 8 LPA', 'Experience': 'Year of experience - 0 - 2 Years'}","{'job_title': 'Software Engineer', 'job_link': None, 'company_name': 'Volvo', 'experience': '0 - 2 Years', 'salary': 'Rs. 5 LPA - Rs. 8 LPA', 'location': 'Bangalore', 'job_description': None, 'skills': [' .Net', ' SQL', ' C#']}","{'job title': 'Software Engineer', 'job link': None, 'company name': 'Volvo', 'experience': '0 - 2 Years', 'salary': 'Rs. 5 LPA - Rs. 8 LPA', 'location': 'Bangalore', 'job description': None, 'skills': ['.Net', 'SQL', 'C#']}"
"{'Company Name': 'Adobe', 'Job Title': 'Computer Scientist', 'Location': 'Bangalore', 'Skills': ""['AWS', 'Google Cloud']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 25 LPA - Rs. 40 LPA', 'Experience': 'Year of experience - 0 - 2 Years'}","{'job_title': 'Computer Scientist', 'job_link': None, 'company_name': 'Adobe', 'experience': '0 - 2 Years', 'salary': 'Rs. 25 LPA - Rs. 40 LPA', 'location': 'Bangalore', 'job_description': None, 'skills': ['AWS', 'Google Cloud']}","{'job title': 'Computer Scientist', 'job link': None, 'company name': 'Adobe', 'experience': '0 - 2 Years', 'salary': 'Rs. 25 LPA - Rs. 40 LPA', 'location': 'Bangalore', 'job description': None, 'skills': ['AWS', 'Google Cloud']}"
"{'Company Name': 'NVIDIA', 'Job Title': 'System Software Engineer', 'Location': 'Pune, Hyderabad, Bangalore', 'Skills': ""['C/C++']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 12 LPA - Rs. 20 LPA', 'Experience': 'Year of experience - 0 - 2 Years'}","{'job_title': 'System Software Engineer', 'job_link': None, 'company_name': 'NVIDIA', 'experience': '0 - 2 Years', 'salary': 'Rs. 12 LPA - Rs. 20 LPA', 'location': 'Pune, Hyderabad, Bangalore', 'job_description': None, 'skills': ['C/C++']}","{'job title': 'System Software Engineer', 'job link': None, 'company name': 'NVIDIA', 'experience': '0 - 2 Years', 'salary': 'Rs. 12 LPA - Rs. 20 LPA', 'location': 'Pune, Hyderabad, Bangalore', 'job description': None, 'skills': ['C/C++']}"
"{'Company Name': 'Tower Research Capital', 'Job Title': 'Software Engineer I', 'Location': 'Gurgaon', 'Skills': ""['Python', 'Java', 'MySQL']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 20 LPA - Rs. 30 LPA', 'Experience': 'Year of experience - 0 - 3 Years'}","{'job_title': 'Software Engineer I', 'job_link': None, 'company_name': 'Tower Research Capital', 'experience': '0 - 3 Years', 'salary': 'Rs. 20 LPA - Rs. 30 LPA', 'location': 'Gurgaon', 'job_description': None, 'skills': ['Python', 'Java', 'MySQL']}","{'job title': 'Software Engineer I', 'job link': None, 'company name': 'Tower Research Capital', 'experience': '0 - 3 Years', 'salary': 'Rs. 20 LPA - Rs. 30 LPA', 'location': 'Gurgaon', 'job description': None, 'skills': ['Python', 'Java', 'MySQL']}"
"{'Company Name': 'American Express GBT', 'Job Title': 'Software Development Engineer I', 'Location': 'Gurgaon', 'Skills': ""['HTML/CSS/JavaScript', 'Java']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 8 LPA - Rs. 14 LPA', 'Experience': 'Year of experience - 0 - 1 Years'}","{'job_title': 'Software Development Engineer I', 'job_link': None, 'company_name': 'American Express GBT', 'experience': '0 - 1 Years', 'salary': 'Rs. 8 LPA - Rs. 14 LPA', 'location': 'Gurgaon', 'job_description': None, 'skills': ['HTML/CSS/JavaScript', 'Java']}","{'job title': 'Software Development Engineer I', 'job link': None, 'company name': 'American Express GBT', 'experience': '0 - 1 Years', 'salary': 'Rs. 8 LPA - Rs. 14 LPA', 'location': 'Gurgaon', 'job description': None, 'skills': ['HTML/CSS/JavaScript', 'Java']}"
"{'Company Name': 'NatWest Group', 'Job Title': 'Software Engineer', 'Location': 'Bangalore', 'Skills': ""['Python/Java/C/C++', 'SQL']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 8 LPA - Rs. 12 LPA', 'Experience': 'Year of experience - 0 - 1 Years'}","{'job_title': 'Software Engineer', 'job_link': None, 'company_name': 'NatWest Group', 'experience': '0 - 1 Years', 'salary': 'Rs. 8 LPA - Rs. 12 LPA', 'location': 'Bangalore', 'job_description': None, 'skills': ['Python/Java/C/C++', 'SQL']}","{'job title': 'Software Engineer', 'job link': None, 'company name': 'NatWest Group', 'experience': '0 - 1 Years', 'salary': 'Rs. 8 LPA - Rs. 12 LPA', 'location': 'Bangalore', 'job description': None, 'skills': ['Python/Java/C/C++', 'SQL']}"
"{'Company Name': 'Amazon', 'Job Title': 'Software Development Engineer 1', 'Location': 'Bangalore', 'Skills': ""['Software Development']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 18 LPA - Rs. 25 LPA', 'Experience': 'Year of experience - 0 - 1 Years'}","{'job_title': 'Software Development Engineer 1', 'job_link': None, 'company_name': 'Amazon', 'experience': '0 - 1 Years', 'salary': 'Rs. 18 LPA - Rs. 25 LPA', 'location': 'Bangalore', 'job_description': None, 'skills': ['Software Development']}","{'job title': 'Software Development Engineer 1', 'job link': None, 'company name': 'Amazon', 'experience': '0 - 1 Years', 'salary': 'Rs. 18 LPA - Rs. 25 LPA', 'location': 'Bangalore', 'job description': None, 'skills': ['Software Development']}"
"{'Company Name': 'Goldman Sachs', 'Job Title': 'Software Engineering - Analyst', 'Location': 'Bengaluru', 'Skills': ""['SQL', 'AWS']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 12 LPA - Rs. 18 LPA', 'Experience': 'Year of experience - 0 - 1 Years'}","{'job_title': 'Software Engineering - Analyst', 'job_link': None, 'company_name': 'Goldman Sachs', 'experience': '0 - 1 Years', 'salary': 'Rs. 12 LPA - Rs. 18 LPA', 'location': 'Bengaluru', 'job_description': None, 'skills': ['SQL', 'AWS']}","{'job title': 'Software Engineering - Analyst', 'job link': None, 'company name': 'Goldman Sachs', 'experience': '0 - 1 Years', 'salary': 'Rs. 12 LPA - Rs. 18 LPA', 'location': 'Bengaluru', 'job description': None, 'skills': ['SQL', 'AWS']}"
"{'Company Name': 'Capegemini', 'Job Title': 'Software Engineer', 'Location': 'Hyderabad', 'Skills': ""['Software Development']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 3.5 LPA - Rs. 6 LPA', 'Experience': 'Year of experience - 0 - 2 Years'}","{'job_title': 'Software Engineer', 'job_link': None, 'company_name': 'Capegemini', 'experience': '0 - 2 Years', 'salary': 'Rs. 3.5 LPA - Rs. 6 LPA', 'location': 'Hyderabad', 'job_description': None, 'skills': ['Software Development']}","{'job title': 'Software Engineer', 'job link': None, 'company name': 'Capegemini', 'experience': '0 - 2 Years', 'salary': 'Rs. 3.5 LPA - Rs. 6 LPA', 'location': 'Hyderabad', 'job description': None, 'skills': ['Software Development']}"
"{'Company Name': 'ServiceNow', 'Job Title': 'Software Engineer', 'Location': 'Hyderabad', 'Skills': ""['Java', 'JavaScript']"", 'Job Type': 'Hybrid', 'Salary': 'Rs. 12 LPA - Rs. 18 LPA', 'Experience': 'Year of experience - 0 - 2 Years'}","{'job_title': 'Software Engineer', 'job_link': None, 'company_name': 'ServiceNow', 'experience': '0 - 2 Years', 'salary': 'Rs. 12 LPA - Rs. 18 LPA', 'location': 'Hyderabad', 'job_description': None, 'skills': ['Java', 'JavaScript']}","{'job title': 'Software Engineer', 'job link': None, 'company name': 'ServiceNow', 'experience': '0 - 2 Years', 'salary': 'Rs. 12 LPA - Rs. 18 LPA', 'location': 'Hyderabad', 'job description': None, 'skills': ['Java', 'JavaScript']}"
"{'Company Name': 'Adobe', 'Job Title': 'Software Development Engineer', 'Location': 'Noida', 'Skills': ""['Java/C/C++']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 12 LPA - Rs. 20 LPA', 'Experience': 'Year of experience - 0 - 2 Years'}","{'job_title': 'Software Development Engineer', 'job_link': None, 'company_name': 'Adobe', 'experience': '0 - 2 Years', 'salary': 'Rs. 12 LPA - Rs. 20 LPA', 'location': 'Noida', 'job_description': None, 'skills': ['Java/C/C++']}","{'job title': 'Software Development Engineer', 'job link': None, 'company name': 'Adobe', 'experience': '0 - 2 Years', 'salary': 'Rs. 12 LPA - Rs. 20 LPA', 'location': 'Noida', 'job description': None, 'skills': ""['Java/C/C++']""}"
"{'Company Name': 'Capegemini', 'Job Title': 'Software Engineer', 'Location': 'Bangalore', 'Skills': ""['Software Development']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 3.5 LPA - Rs. 6 LPA', 'Experience': 'Year of experience - 0 - 2 Years'}","{'job_title': 'Software Engineer', 'job_link': None, 'company_name': 'Capegemini', 'experience': '0 - 2 Years', 'salary': 'Rs. 3.5 LPA - Rs. 6 LPA', 'location': 'Bangalore', 'job_description': None, 'skills': ['Software Development']}","{'job title': 'Software Engineer', 'job link': None, 'company name': 'Capegemini', 'experience': '0 - 2 Years', 'salary': 'Rs. 3.5 LPA - Rs. 6 LPA', 'location': 'Bangalore', 'job description': None, 'skills': ['Software Development']}"
